text,label
Google cảnh báo đăng nhập mới,0
Chúc mừng bạn đã trúng thưởng 798571389 VNĐ,1
Nhận tiền hoàn ngay hôm nay,1
Chúc mừng bạn đã trúng thưởng 800710647 VNĐ,1
Khuyến mãi sốc giảm giá 90%,1
Ưu đãi độc quyền dành riêng cho bạn,1
Khuyến mãi sốc giảm giá 90%,1
Nhận tiền hoàn ngay hôm nay,1
Khuyến mãi sốc giảm giá 90%,1
Google cảnh báo đăng nhập mới,0
Thông báo từ ngân hàng,0
Ưu đãi độc quyền dành riêng cho bạn,1
Khuyến mãi sốc giảm giá 90%,1
Google cảnh báo đăng nhập mới,0
Nhận tiền hoàn ngay hôm nay,1
Hóa đơn điện tử của bạn,0
Chúc mừng bạn đã trúng thưởng 290975833 VNĐ,1
Google cảnh báo đăng nhập mới,0
Ưu đãi độc quyền dành riêng cho bạn,1
Nhận quà miễn phí ngay hôm nay,1
Hóa đơn điện tử của bạn,0
Thông báo từ ngân hàng,0
Thông báo giao dịch thành công,0
Chúc mừng bạn đã trúng thưởng 876394842 VNĐ,1
Nhận tiền hoàn ngay hôm nay,1
Google cảnh báo đăng nhập mới,0
Cập nhật trạng thái đơn hàng,0
Thông báo giao dịch thành công,0
Thông báo từ GitHub về bảo mật,0
Nhận tiền hoàn ngay hôm nay,1
Ưu đãi độc quyền dành riêng cho bạn,1
Hóa đơn điện tử của bạn,0
Khuyến mãi sốc giảm giá 90%,1
Bạn được chọn nhận ưu đãi đặc biệt,1
Thông báo từ ngân hàng,0
Tài khoản của bạn cần xác minh gấp,1
Lịch học ngày mai đã được cập nhật,0
Thông báo từ ngân hàng,0
Chúc mừng bạn đã trúng thưởng 329268008 VNĐ,1
Mã OTP của bạn là 306434,0
Cập nhật trạng thái đơn hàng,0
Ưu đãi độc quyền dành riêng cho bạn,1
Bạn đã trúng giải đặc biệt,1
Cập nhật trạng thái đơn hàng,0
Thông báo giao dịch thành công,0
Nhận quà miễn phí ngay hôm nay,1
Cập nhật trạng thái đơn hàng,0
Tài khoản của bạn cần xác minh gấp,1
Nhận quà miễn phí ngay hôm nay,1
"Cảnh báo bảo mật, vui lòng xác nhận tài khoản",1
Bạn được chọn nhận ưu đãi đặc biệt,1
Google cảnh báo đăng nhập mới,0
Xác nhận đăng ký tài khoản,0
Bạn đã trúng giải đặc biệt,1
Khuyến mãi sốc giảm giá 90%,1
Đơn hàng Shopee đã giao thành công,0
Chúc mừng bạn đã trúng thưởng 165604166 VNĐ,1
Thông báo từ ngân hàng,0
Click vào link để nhận thưởng ngay,1
Ưu đãi độc quyền dành riêng cho bạn,1
Cập nhật trạng thái đơn hàng,0
Hóa đơn điện tử của bạn,0
Thông báo từ GitHub về bảo mật,0
Hóa đơn điện tử của bạn,0
Cập nhật trạng thái đơn hàng,0
Thông báo từ GitHub về bảo mật,0
Bạn đã trúng giải đặc biệt,1
Bạn đã trúng giải đặc biệt,1
Lịch học ngày mai đã được cập nhật,0
Lịch học ngày mai đã được cập nhật,0
Tài khoản của bạn cần xác minh gấp,1
Thông báo giao dịch thành công,0
Thông báo từ ngân hàng,0
Lịch học ngày mai đã được cập nhật,0
Thông báo giao dịch thành công,0
Ưu đãi độc quyền dành riêng cho bạn,1
Ưu đãi độc quyền dành riêng cho bạn,1
Cập nhật trạng thái đơn hàng,0
Xác nhận đăng ký tài khoản,0
Thông báo giao dịch thành công,0
Thông báo từ ngân hàng,0
Mã OTP của bạn là 162160,0
Hóa đơn điện tử của bạn,0
Thông báo từ GitHub về bảo mật,0
"Cảnh báo bảo mật, vui lòng xác nhận tài khoản",1
"Cảnh báo bảo mật, vui lòng xác nhận tài khoản",1
Google cảnh báo đăng nhập mới,0
Nhận tiền hoàn ngay hôm nay,1
Xác nhận đăng ký tài khoản,0
Hóa đơn điện tử của bạn,0
Nhận tiền hoàn ngay hôm nay,1
"Cảnh báo bảo mật, vui lòng xác nhận tài khoản",1
Nhận tiền hoàn ngay hôm nay,1
Nhận quà miễn phí ngay hôm nay,1
Thông báo giao dịch thành công,0
Thông báo từ GitHub về bảo mật,0
Bạn được chọn nhận ưu đãi đặc biệt,1
Thông báo từ GitHub về bảo mật,0
Hóa đơn điện tử của bạn,0
Thông báo từ ngân hàng,0
